"Block Size"	"Sync?"	"Num Bytes Read"	"Wall Clock Time"	"User Time"	"Sys Time"
512	-	524800	0.005	0.000	0.000
512	-	524800	0.007	0.000	0.010
512	-	524800	0.007	0.000	0.000
512	-	524800	0.007	0.000	0.010
512	-	524800	0.007	0.010	0.000
1024	-	525312	0.004	0.000	0.000
1024	-	525312	0.004	0.000	0.000
1024	-	525312	0.004	0.000	0.010
1024	-	525312	0.004	0.000	0.000
1024	-	525312	0.004	0.000	0.010
2048	-	526336	0.003	0.000	0.000
2048	-	526336	0.003	0.000	0.000
2048	-	526336	0.003	0.000	0.000
2048	-	526336	0.003	0.010	0.000
2048	-	526336	0.003	0.000	0.000
4096	-	528384	0.002	0.000	0.000
4096	-	528384	0.002	0.000	0.000
4096	-	528384	0.001	0.000	0.010
4096	-	528384	0.002	0.000	0.000
4096	-	528384	0.002	0.000	0.000
8192	-	532480	0.001	0.000	0.000
8192	-	532480	0.002	0.000	0.000
8192	-	532480	0.002	0.000	0.000
8192	-	532480	0.001	0.000	0.000
8192	-	532480	0.002	0.000	0.010
16384	-	540672	0.002	0.000	0.000
16384	-	540672	0.002	0.000	0.000
16384	-	540672	0.001	0.000	0.000
16384	-	540672	0.002	0.000	0.000
16384	-	540672	0.002	0.000	0.000
32768	-	557056	0.002	0.000	0.010
32768	-	557056	0.002	0.000	0.000
32768	-	557056	0.002	0.000	0.000
32768	-	557056	0.002	0.000	0.000
32768	-	557056	0.002	0.000	0.000
65536	-	589824	0.002	0.000	0.010
65536	-	589824	0.002	0.000	0.000
65536	-	589824	0.002	0.000	0.000
65536	-	589824	0.002	0.000	0.000
65536	-	589824	0.002	0.000	0.000
512	s	524800	0.203	0.020	0.190
512	s	524800	0.218	0.010	0.210
512	s	524800	0.214	0.030	0.170
512	s	524800	0.219	0.020	0.200
512	s	524800	0.222	0.010	0.220
1024	s	525312	0.113	0.000	0.110
1024	s	525312	0.114	0.010	0.110
1024	s	525312	0.119	0.000	0.120
1024	s	525312	0.115	0.000	0.110
1024	s	525312	0.112	0.010	0.100
2048	s	526336	0.055	0.000	0.050
2048	s	526336	0.057	0.010	0.060
2048	s	526336	0.058	0.010	0.050
2048	s	526336	0.062	0.000	0.060
2048	s	526336	0.059	0.000	0.050
4096	s	528384	0.034	0.000	0.040
4096	s	528384	0.034	0.010	0.020
4096	s	528384	0.034	0.000	0.040
4096	s	528384	0.029	0.000	0.030
4096	s	528384	0.029	0.000	0.030
8192	s	532480	0.016	0.010	0.000
8192	s	532480	0.016	0.000	0.020
8192	s	532480	0.018	0.000	0.020
8192	s	532480	0.015	0.000	0.010
8192	s	532480	0.015	0.000	0.020
16384	s	540672	0.009	0.000	0.010
16384	s	540672	0.009	0.000	0.010
16384	s	540672	0.010	0.000	0.010
16384	s	540672	0.009	0.000	0.010
16384	s	540672	0.010	0.000	0.010
32768	s	557056	0.007	0.000	0.000
32768	s	557056	0.007	0.000	0.000
32768	s	557056	0.006	0.000	0.010
32768	s	557056	0.006	0.000	0.000
32768	s	557056	0.006	0.000	0.010
65536	s	589824	0.004	0.000	0.000
65536	s	589824	0.004	0.000	0.010
65536	s	589824	0.004	0.000	0.000
65536	s	589824	0.004	0.000	0.000
65536	s	589824	0.004	0.000	0.010
512	-	1049088	0.007	0.000	0.010
512	-	1049088	0.013	0.000	0.010
512	-	1049088	0.013	0.000	0.010
512	-	1049088	0.013	0.020	0.000
512	-	1049088	0.013	0.010	0.000
1024	-	1049600	0.008	0.000	0.000
1024	-	1049600	0.008	0.010	0.010
1024	-	1049600	0.006	0.000	0.000
1024	-	1049600	0.008	0.000	0.010
1024	-	1049600	0.008	0.000	0.010
2048	-	1050624	0.005	0.000	0.000
2048	-	1050624	0.001	0.000	0.000
2048	-	1050624	0.003	0.000	0.010
2048	-	1050624	0.005	0.000	0.000
2048	-	1050624	0.005	0.000	0.010
4096	-	1052672	0.004	0.000	0.000
4096	-	1052672	0.003	0.000	0.000
4096	-	1052672	0.004	0.000	0.010
4096	-	1052672	0.004	0.000	0.000
