,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,DEFAULT_PLAN,1,873.6358707438734,5.45,Linux x86 64-bit,985311.8,1762.6,880.4,908248820,12-Jan-21 07:17,2021-01-12 07:55:58
1,INTERNAL_PLAN,1,888.3959412780656,5.45,Linux x86 64-bit,1004914.7,1797.7,898.9,908248820,12-Jan-21 07:17,2021-01-12 08:49:30
2,DEFAULT_PLAN,1,882.2211199294534,5.45,Linux x86 64-bit,988672.5,1768.6,884.8,908248820,12-Jan-21 07:17,2021-01-12 10:18:37
3,INTERNAL_PLAN,1,888.769098343017,5.45,Linux x86 64-bit,1005252.4,1798.3,899.6,908248820,12-Jan-21 07:17,2021-01-12 09:25:32
4,DEFAULT_PLAN,6,2726.4637105669535,5.45,Linux x86 64-bit,3066142.2,5485.0,2743.3,908248820,12-Jan-21 10:29,2021-01-12 12:31:52
5,DEFAULT_PLAN,1,884.2385341233268,5.45,Linux x86 64-bit,988629.7,1768.5,885.2,908248820,12-Jan-21 07:17,2021-01-12 08:13:36
6,DEFAULT_PLAN,6,2688.2406181015454,5.45,Linux x86 64-bit,3025032.1,5411.5,2707.5,908248820,12-Jan-21 10:29,2021-01-12 13:23:47
7,INTERNAL_PLAN,1,915.1899148657499,5.45,Linux x86 64-bit,1014053.5,1814.1,908.8,908248820,12-Jan-21 07:17,2021-01-12 08:31:20
8,INTERNAL_PLAN,6,2919.776086476947,5.45,Linux x86 64-bit,3331378.5,5959.5,2980.6,908248820,12-Jan-21 10:29,2021-01-12 12:14:31
9,INTERNAL_PLAN,1,848.9172676282051,5.45,Linux x86 64-bit,976479.3,1746.9,878.5,908248820,12-Jan-21 07:17,2021-01-12 07:37:06
10,DEFAULT_PLAN,1,884.875523243005,5.45,Linux x86 64-bit,991480.1,1773.6,887.5,908248820,12-Jan-21 07:17,2021-01-12 10:01:08
11,DEFAULT_PLAN,6,2721.563881520778,5.45,Linux x86 64-bit,3056243.1,5467.3,2734.3,908248820,12-Jan-21 10:29,2021-01-12 13:06:32
12,INTERNAL_PLAN,6,2942.899558498896,5.45,Linux x86 64-bit,3360532.0,6011.7,3006.5,908248820,12-Jan-21 10:29,2021-01-12 11:22:40
13,DEFAULT_PLAN,1,875.6351292159438,5.45,Linux x86 64-bit,984684.3,1761.5,878.8,908248820,12-Jan-21 07:17,2021-01-12 09:07:27
14,DEFAULT_PLAN,6,2723.2580715532285,5.45,Linux x86 64-bit,3079477.3,5508.9,2760.0,908248820,12-Jan-21 10:29,2021-01-12 10:47:51
15,DEFAULT_PLAN,6,2734.0580189719835,5.45,Linux x86 64-bit,3074939.7,5500.8,2753.0,908248820,12-Jan-21 10:29,2021-01-12 11:57:15
16,INTERNAL_PLAN,6,2893.248344370861,5.45,Linux x86 64-bit,3307717.4,5917.2,2959.2,908248820,12-Jan-21 10:29,2021-01-12 11:40:00
17,INTERNAL_PLAN,1,895.2867148172465,5.45,Linux x86 64-bit,998564.1,1786.4,894.1,908248820,12-Jan-21 07:17,2021-01-12 09:43:21
18,INTERNAL_PLAN,6,2934.421633554084,5.45,Linux x86 64-bit,3349154.2,5991.4,2996.8,908248820,12-Jan-21 10:29,2021-01-12 11:05:20
19,INTERNAL_PLAN,6,2927.2523714979047,5.45,Linux x86 64-bit,3340216.9,5975.4,2988.6,908248820,12-Jan-21 10:29,2021-01-12 12:49:12
