,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,DEFAULT_PLAN,1,511.3802256138022,5.41,Linux x86 64-bit,564472.2,1024.4,512.9,987761581,18-Jan-21 11:52,2021-01-18 14:49:26
1,DEFAULT_PLAN,6,1887.4729401369561,5.41,Linux x86 64-bit,2088091.0,3789.6,1894.9,987761581,18-Jan-21 08:36,2021-01-18 09:13:10
2,DEFAULT_PLAN,6,1870.2941827029417,5.41,Linux x86 64-bit,2066856.4,3751.1,1876.0,987761581,18-Jan-21 08:36,2021-01-18 11:14:47
3,INTERNAL_PLAN,1,566.7293233082706,5.41,Linux x86 64-bit,626998.6,1137.9,569.9,987761581,18-Jan-21 11:52,2021-01-18 12:39:49
4,DEFAULT_PLAN,1,514.4341290893016,5.41,Linux x86 64-bit,565802.2,1026.9,514.1,987761581,18-Jan-21 11:52,2021-01-18 13:54:19
5,INTERNAL_PLAN,6,1944.0999338186634,5.41,Linux x86 64-bit,2151175.7,3904.1,1952.7,987761581,18-Jan-21 08:36,2021-01-18 10:57:20
6,INTERNAL_PLAN,6,1899.6385671385672,5.41,Linux x86 64-bit,2136534.8,3877.5,1946.3,987761581,18-Jan-21 08:36,2021-01-18 08:55:01
7,INTERNAL_PLAN,1,479.9381734675852,5.41,Linux x86 64-bit,591151.5,1072.9,541.3,987761581,18-Jan-21 11:52,2021-01-18 12:13:46
8,INTERNAL_PLAN,1,569.300691742326,5.41,Linux x86 64-bit,626518.6,1137.0,569.3,987761581,18-Jan-21 11:52,2021-01-18 15:07:25
9,DEFAULT_PLAN,1,514.0452538631347,5.41,Linux x86 64-bit,567348.8,1029.7,515.4,987761581,18-Jan-21 11:52,2021-01-18 13:36:53
10,INTERNAL_PLAN,6,1926.6335321404904,5.41,Linux x86 64-bit,2143120.4,3889.5,1944.5,987761581,18-Jan-21 08:36,2021-01-18 10:05:18
11,INTERNAL_PLAN,6,1923.1154611811546,5.41,Linux x86 64-bit,2139274.2,3882.5,1941.3,987761581,18-Jan-21 08:36,2021-01-18 09:30:30
12,DEFAULT_PLAN,6,1874.9269588313412,5.41,Linux x86 64-bit,2069367.3,3755.7,1878.5,987761581,18-Jan-21 08:36,2021-01-18 10:39:55
13,INTERNAL_PLAN,1,572.9335476956056,5.41,Linux x86 64-bit,624502.7,1133.4,566.3,987761581,18-Jan-21 11:52,2021-01-18 13:17:43
14,DEFAULT_PLAN,1,514.4499559082893,5.41,Linux x86 64-bit,569178.5,1033.0,517.2,987761581,18-Jan-21 11:52,2021-01-18 12:59:41
15,INTERNAL_PLAN,1,559.3480546792849,5.41,Linux x86 64-bit,619332.7,1124.0,560.0,987761581,18-Jan-21 11:52,2021-01-18 14:30:10
16,DEFAULT_PLAN,6,1884.6890216910137,5.41,Linux x86 64-bit,2082341.9,3779.2,1890.1,987761581,18-Jan-21 08:36,2021-01-18 10:22:39
17,DEFAULT_PLAN,1,511.77704194260485,5.41,Linux x86 64-bit,565758.4,1026.8,514.0,987761581,18-Jan-21 11:52,2021-01-18 14:11:52
18,INTERNAL_PLAN,6,1911.8973509933776,5.41,Linux x86 64-bit,2132001.5,3869.3,1935.3,987761581,18-Jan-21 08:36,2021-01-18 09:47:50
19,DEFAULT_PLAN,6,1882.9714475431606,5.41,Linux x86 64-bit,2079912.9,3774.8,1887.7,987761581,18-Jan-21 08:36,2021-01-18 11:32:01
