,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,DEFAULT_PLAN,6,908.8158184622163,5.41,Linux x86 64-bit,1001374.8,1817.4,909.7,987761581,15-Jan-21 20:33,2021-01-16 01:38:13
1,INTERNAL_PLAN,6,1887.9814077025233,5.41,Linux x86 64-bit,2085382.9,3784.7,1892.8,987761581,16-Jan-21 13:56,2021-01-16 16:26:31
2,INTERNAL_PLAN,6,891.996637242539,5.41,Linux x86 64-bit,1014992.6,1842.1,924.7,987761581,15-Jan-21 20:33,2021-01-15 21:40:34
3,DEFAULT_PLAN,6,1866.9069664903,5.41,Linux x86 64-bit,2064119.3,3745.3,1992.5,987761581,16-Jan-21 13:56,2021-01-16 17:18:34
4,INTERNAL_PLAN,6,1897.690349712262,5.41,Linux x86 64-bit,2096111.2,3804.2,1902.8,987761581,16-Jan-21 13:56,2021-01-16 17:53:31
5,INTERNAL_PLAN,1,447.03459782226906,5.41,Linux x86 64-bit,501247.3,909.4,474.1,987761581,15-Jan-21 13:28,2021-01-15 19:13:40
6,DEFAULT_PLAN,1,435.41748849441154,5.41,Linux x86 64-bit,483792.2,877.9,439.6,987761581,15-Jan-21 13:28,2021-01-15 19:58:29
7,INTERNAL_PLAN,1,446.5766779152605,5.41,Linux x86 64-bit,513142.9,930.1,493.4,987761581,15-Jan-21 13:28,2021-01-15 17:49:15
8,DEFAULT_PLAN,1,442.3375192773738,5.41,Linux x86 64-bit,487607.0,884.8,443.6,987761581,15-Jan-21 13:28,2021-01-15 16:47:12
9,DEFAULT_PLAN,1,428.15097259062776,5.41,Linux x86 64-bit,469404.1,851.3,440.3,987761581,15-Jan-21 13:28,2021-01-15 17:04:37
10,DEFAULT_PLAN,6,1906.8084163898118,5.41,Linux x86 64-bit,2105082.0,3820.5,1911.1,987761581,16-Jan-21 13:56,2021-01-16 16:43:46
11,INTERNAL_PLAN,1,472.3989760468093,5.41,Linux x86 64-bit,510449.8,926.3,464.0,987761581,15-Jan-21 13:28,2021-01-15 19:37:43
12,DEFAULT_PLAN,1,413.3640552995392,5.41,Linux x86 64-bit,451758.2,818.7,521.9,987761581,15-Jan-21 13:28,2021-01-15 18:10:02
13,DEFAULT_PLAN,6,904.811403508772,5.41,Linux x86 64-bit,1000199.8,1815.2,908.2,987761581,15-Jan-21 20:33,2021-01-16 04:17:27
14,DEFAULT_PLAN,6,1883.6098208360982,5.41,Linux x86 64-bit,2077365.9,3769.5,1902.5,987761581,16-Jan-21 13:56,2021-01-16 17:01:03
15,INTERNAL_PLAN,6,1893.791196637912,5.41,Linux x86 64-bit,2091977.8,3796.7,1899.0,987761581,16-Jan-21 13:56,2021-01-16 16:09:11
16,DEFAULT_PLAN,1,426.90224570673706,5.41,Linux x86 64-bit,469282.4,851.5,476.8,987761581,15-Jan-21 13:28,2021-01-15 18:52:15
17,INTERNAL_PLAN,6,906.7162043152795,5.41,Linux x86 64-bit,1000179.4,1815.2,908.3,987761581,15-Jan-21 20:33,2021-01-16 00:18:42
18,INTERNAL_PLAN,6,925.2915291529152,5.41,Linux x86 64-bit,1021121.3,1853.2,927.0,987761581,15-Jan-21 20:33,2021-01-16 09:32:54
19,INTERNAL_PLAN,1,456.6354222460275,5.41,Linux x86 64-bit,508577.9,922.8,503.5,987761581,15-Jan-21 13:28,2021-01-15 18:31:15
20,DEFAULT_PLAN,6,905.3944188090529,5.41,Linux x86 64-bit,1001697.2,1818.0,909.3,987761581,15-Jan-21 20:33,2021-01-16 02:57:48
21,DEFAULT_PLAN,6,906.1974744175919,5.41,Linux x86 64-bit,998923.8,1812.9,914.8,987761581,15-Jan-21 20:33,2021-01-15 22:59:50
22,INTERNAL_PLAN,6,1891.170095111701,5.41,Linux x86 64-bit,2088793.9,3790.9,1896.1,987761581,16-Jan-21 13:56,2021-01-16 15:34:19
23,DEFAULT_PLAN,6,1878.9493474894934,5.41,Linux x86 64-bit,2077260.8,3770.0,1886.0,987761581,16-Jan-21 13:56,2021-01-16 17:36:07
24,DEFAULT_PLAN,6,1881.1767943637162,5.41,Linux x86 64-bit,2086667.3,3787.1,1893.7,987761581,16-Jan-21 13:56,2021-01-16 15:51:52
25,INTERNAL_PLAN,6,923.3024895351398,5.41,Linux x86 64-bit,1019699.7,1850.6,925.7,987761581,15-Jan-21 20:33,2021-01-16 08:15:16
26,INTERNAL_PLAN,1,471.8638888888889,5.41,Linux x86 64-bit,504215.4,914.6,494.6,987761581,15-Jan-21 13:28,2021-01-15 17:25:05
27,DEFAULT_PLAN,6,907.9850088183422,5.41,Linux x86 64-bit,1000409.3,1815.5,908.6,987761581,15-Jan-21 20:33,2021-01-16 05:37:00
28,INTERNAL_PLAN,6,1875.078626799557,5.41,Linux x86 64-bit,2070477.8,3757.7,1879.5,987761581,16-Jan-21 13:56,2021-01-16 18:10:48
29,INTERNAL_PLAN,6,915.1287128712871,5.41,Linux x86 64-bit,1009920.2,1832.9,917.1,987761581,15-Jan-21 20:33,2021-01-16 06:56:59
