,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,ORA$INTERNAL_CDB_PLAN,6,2931.8399558498895,5.45,Linux x86 64-bit,3355623.9,6003.0,3005.6,908248820,24-Jan-21 15:50,2021-01-24 16:44:38
1,ORA$INTERNAL_CDB_PLAN,6,2895.136684303351,5.45,Linux x86 64-bit,3315212.0,5930.6,2966.9,908248820,24-Jan-21 15:50,2021-01-24 17:19:25
2,DEFAULT_CDB_PLAN,1,825.2373104812128,5.45,Linux x86 64-bit,926254.6,1657.0,830.0,908248820,24-Jan-21 20:45,2021-01-24 23:35:35
3,ORA$INTERNAL_CDB_PLAN,1,791.9517409896151,5.45,Linux x86 64-bit,917144.0,1640.6,828.2,908248820,24-Jan-21 20:45,2021-01-24 21:04:45
4,ORA$INTERNAL_CDB_PLAN,1,853.6034558180228,5.45,Linux x86 64-bit,944652.7,1689.9,845.0,908248820,24-Jan-21 20:45,2021-01-24 23:53:46
5,DEFAULT_CDB_PLAN,1,836.2428821725799,5.45,Linux x86 64-bit,940587.9,1682.6,843.5,908248820,24-Jan-21 20:45,2021-01-24 22:21:45
6,ORA$INTERNAL_CDB_PLAN,1,838.7039445166882,5.45,Linux x86 64-bit,938682.1,1679.2,845.1,908248820,24-Jan-21 20:45,2021-01-24 22:02:58
7,ORA$INTERNAL_CDB_PLAN,1,839.2000430663221,5.45,Linux x86 64-bit,941995.3,1684.8,843.6,908248820,24-Jan-21 20:45,2021-01-24 23:16:45
8,ORA$INTERNAL_CDB_PLAN,6,2888.507380480282,5.45,Linux x86 64-bit,3311819.0,5924.6,2964.2,908248820,24-Jan-21 15:50,2021-01-24 17:36:56
9,DEFAULT_CDB_PLAN,1,843.8095238095239,5.45,Linux x86 64-bit,949484.3,1698.5,850.3,908248820,24-Jan-21 20:45,2021-01-24 22:58:16
10,DEFAULT_CDB_PLAN,6,2726.4878587196467,5.45,Linux x86 64-bit,3071964.5,5495.5,2750.9,908248820,24-Jan-21 15:50,2021-01-24 17:02:03
11,DEFAULT_CDB_PLAN,6,2720.6611295681064,5.45,Linux x86 64-bit,3060694.4,5475.3,2739.8,908248820,24-Jan-21 15:50,2021-01-24 18:46:21
12,DEFAULT_CDB_PLAN,6,2732.4108527131784,5.45,Linux x86 64-bit,3066501.5,5485.7,2745.5,908248820,24-Jan-21 15:50,2021-01-24 18:11:41
13,DEFAULT_CDB_PLAN,1,834.3000874890639,5.45,Linux x86 64-bit,936409.6,1675.2,840.4,908248820,24-Jan-21 20:45,2021-01-24 22:39:59
14,DEFAULT_CDB_PLAN,1,815.2966282543748,5.45,Linux x86 64-bit,936269.4,1674.9,838.9,908248820,24-Jan-21 20:45,2021-01-24 21:26:07
15,DEFAULT_CDB_PLAN,6,2727.2916666666665,5.45,Linux x86 64-bit,3063165.7,5479.7,2741.5,908248820,24-Jan-21 15:50,2021-01-24 18:29:00
16,ORA$INTERNAL_CDB_PLAN,6,2915.96653456627,5.45,Linux x86 64-bit,3345860.9,5985.5,2995.1,908248820,24-Jan-21 15:50,2021-01-24 17:54:22
17,ORA$INTERNAL_CDB_PLAN,1,832.3555411815438,5.45,Linux x86 64-bit,935960.8,1674.4,840.7,908248820,24-Jan-21 20:45,2021-01-24 21:44:24
18,ORA$INTERNAL_CDB_PLAN,6,2891.151912568306,5.45,Linux x86 64-bit,3337095.1,5969.8,2988.7,908248820,24-Jan-21 15:50,2021-01-24 16:27:07
19,DEFAULT_CDB_PLAN,6,2623.6454392601936,5.45,Linux x86 64-bit,3004297.4,5374.1,2704.0,908248820,24-Jan-21 15:50,2021-01-24 16:09:13
