,plan,num_cpus,rate,memory,platform,logical_reads,user_calls,SQL_executes,dbid,startup_time,snap_time
0,ORA$INTERNAL_CDB_PLAN,6,847.3566419141914,5.41,Linux x86 64-bit,969959.6,1760.3,889.5,165872619,24-Jan-21 12:14,2021-01-24 12:33:28
1,DEFAULT_CDB_PLAN,6,879.8638559508125,5.41,Linux x86 64-bit,970154.7,1760.7,883.2,165872619,24-Jan-21 12:14,2021-01-24 13:10:28
2,DEFAULT_CDB_PLAN,1,510.39176626826026,5.41,Linux x86 64-bit,562186.4,1020.3,512.3,165872619,22-Jan-21 14:28,2021-01-24 10:35:29
3,ORA$INTERNAL_CDB_PLAN,1,509.25632911392404,5.41,Linux x86 64-bit,561662.4,1019.3,520.9,165872619,22-Jan-21 14:28,2021-01-24 09:13:18
4,DEFAULT_CDB_PLAN,6,882.8880826737027,5.41,Linux x86 64-bit,973402.1,1766.6,886.2,165872619,24-Jan-21 12:14,2021-01-24 13:46:21
5,ORA$INTERNAL_CDB_PLAN,6,898.0388263842931,5.41,Linux x86 64-bit,989803.5,1796.4,899.6,165872619,24-Jan-21 12:14,2021-01-24 15:15:55
6,DEFAULT_CDB_PLAN,6,880.9000661813369,5.41,Linux x86 64-bit,971833.6,1763.8,884.1,165872619,24-Jan-21 12:14,2021-01-24 14:40:24
7,DEFAULT_CDB_PLAN,1,476.19332006193315,5.41,Linux x86 64-bit,524405.7,951.7,478.0,165872619,22-Jan-21 14:28,2021-01-24 11:14:05
8,ORA$INTERNAL_CDB_PLAN,6,894.3923497267759,5.41,Linux x86 64-bit,992415.8,1801.1,902.5,165872619,24-Jan-21 12:14,2021-01-24 12:52:29
9,DEFAULT_CDB_PLAN,6,884.3846323205636,5.41,Linux x86 64-bit,974060.5,1767.8,888.0,165872619,24-Jan-21 12:14,2021-01-24 13:28:27
10,ORA$INTERNAL_CDB_PLAN,6,896.1136712749616,5.41,Linux x86 64-bit,990959.8,1798.4,904.8,165872619,24-Jan-21 12:14,2021-01-24 14:04:31
11,ORA$INTERNAL_CDB_PLAN,1,519.3109869646183,5.41,Linux x86 64-bit,573768.6,1041.3,526.5,165872619,22-Jan-21 14:28,2021-01-24 08:29:01
12,DEFAULT_CDB_PLAN,1,474.10942316160276,5.41,Linux x86 64-bit,524694.7,952.2,478.5,165872619,22-Jan-21 14:28,2021-01-24 08:55:06
13,ORA$INTERNAL_CDB_PLAN,1,477.3679245283019,5.41,Linux x86 64-bit,534862.8,970.7,487.2,165872619,22-Jan-21 14:28,2021-01-24 09:57:29
14,ORA$INTERNAL_CDB_PLAN,6,900.0594844679445,5.41,Linux x86 64-bit,994567.1,1805.0,904.5,165872619,24-Jan-21 12:14,2021-01-24 14:58:13
15,DEFAULT_CDB_PLAN,1,489.2966157929661,5.41,Linux x86 64-bit,538452.6,974.2,621.0,165872619,22-Jan-21 14:28,2021-01-24 10:17:53
16,ORA$INTERNAL_CDB_PLAN,1,548.2318376068376,5.41,Linux x86 64-bit,591569.5,1073.6,539.0,165872619,22-Jan-21 14:28,2021-01-24 10:53:34
17,DEFAULT_CDB_PLAN,1,492.64273166447083,5.41,Linux x86 64-bit,545933.7,990.8,498.5,165872619,22-Jan-21 14:28,2021-01-24 11:31:44
18,ORA$INTERNAL_CDB_PLAN,1,482.3806506125898,5.41,Linux x86 64-bit,519268.3,942.5,473.9,165872619,22-Jan-21 14:28,2021-01-24 09:35:45
19,DEFAULT_CDB_PLAN,6,880.8195637805684,5.41,Linux x86 64-bit,973119.7,1766.1,886.0,165872619,24-Jan-21 12:14,2021-01-24 14:22:37
