,plan,num_cpus,rate
0,DEFAULT_PLAN,1,873.6358707438734
1,INTERNAL_PLAN,1,888.3959412780656
2,DEFAULT_PLAN,1,882.2211199294534
3,INTERNAL_PLAN,1,888.769098343017
4,DEFAULT_PLAN,6,2726.4637105669535
5,DEFAULT_PLAN,1,884.2385341233268
6,DEFAULT_PLAN,6,2688.2406181015454
7,INTERNAL_PLAN,1,915.1899148657499
8,INTERNAL_PLAN,6,2919.776086476947
9,INTERNAL_PLAN,1,848.9172676282051
10,DEFAULT_PLAN,1,884.875523243005
11,DEFAULT_PLAN,6,2721.563881520778
12,INTERNAL_PLAN,6,2942.899558498896
13,DEFAULT_PLAN,1,875.6351292159438
14,DEFAULT_PLAN,6,2723.2580715532285
15,DEFAULT_PLAN,6,2734.0580189719835
16,INTERNAL_PLAN,6,2893.248344370861
17,INTERNAL_PLAN,1,895.2867148172465
18,INTERNAL_PLAN,6,2934.421633554084
19,INTERNAL_PLAN,6,2927.2523714979047
